record,uuid,start_date,date,status,hCountry,dTrack,LOIM,xpanelPartner,QualityScore_TOTAL,QC_FLAGSr1,S0,S1,S2r1,S2r2,S2r3,S2r4,S2r5,S2r6,S2r7,S2r8,S2r99,S3,S4r1,S4r2,S4r3,S4r4,S4r99,S5r1,S5r2,S5r3,S5r4,S5r99,S5r98,S6,S6r97oe,S7r1,S7r2,S7r3,S7r4,S7r5,S7r6,S7r7,S7r8,S7r9,S7r10,S7r97,S7r98,S7r97oe,S8,S9r1,S9r2,S9r3,S9r4,S9r5,S9r6,S9r7,S9r8,S9r9,S9r10,S9r99,hS9CountSwitchers,TimeSection_Screener,Q1,Q2,Q3r1,Q3r2,Q3r3,Q3r4,Q3r5,Q3r6,Q3r7,Flag_Q3_SL,Q4,Q5r1,Q6r1,Q6r2,Q6r3,Q6r4,Q6r5,Q6r6,Q6r7,Flag_Q6,Flag_Q6_SL,Q7r1,Q7r2,Q7r3,Q7r4,Q7r5,Flag_Q7_SL,Q8,Q9,hACUVUE,hBAUSCH,TimeSection_Section_A
2171,qeymg5pgybfb1fd7,8/25/2025 17:31,8/25/2025 17:34,Qualified,USA,No Changes,2.35,Dynata,65.581629297900000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,42,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,7 to 12 months ago,No,,No,No,No,No,No,No,Yes,No,No,No,0.68,18,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,No,Satisfied,These contact lenses keep my eyes from drying out and stay in place even during rigorous activity,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,No,No,Applies,Applies,Does not Apply,Applies,Applies,No,Agree,Agree,Yes,No,1.66
2526,7dfjymx906ky76ru,8/26/2025 9:55,8/26/2025 10:04,Qualified,USA,No Changes,8.38,Dynata,67.167456227500000,3,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,76,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,No,No,No,No,No,No,No,No,No,,Yes,No,5.61,4,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Satisfied,They work for me since I don't need them ev,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,No,Yes,Applies,Applies,Applies,Applies,Applies,Yes,Agree,Agree,No,Yes,2.77
2603,93p5pfqpe72a54yn,8/26/2025 14:03,8/26/2025 14:06,Qualified,USA,No Changes,3.32,Dynata,69.636076696600000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,25,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,7 to 12 months ago,No,,No,No,No,No,No,No,No,No,Yes,No,1.35,12,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,No,Neither satisfied nor dissatisfied,It's not comfortable. And it starts feeling dry really quick,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,No,No,Does not Apply,Does not Apply,Does not Apply,Applies,Applies,No,Neither agree nor disagree,Neither agree nor disagree,Yes,No,1.94
2607,6ussg18sdje0jqw8,8/26/2025 14:08,8/26/2025 14:11,Qualified,USA,No Changes,3.03,Dynata,67.548569231000000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,36,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,More than 2 years ago,Yes,,Yes,No,No,Yes,No,No,No,No,No,No,0.91,18,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,No,Satisfied,"They provide me with clear vision, and if my eyes weren't already dry, they probably wouldn't contribute to my eye dryness.",Agree,Strongly agree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Agree,No,No,Applies,Applies,Does not Apply,Applies,Applies,No,Disagree,Agree,Yes,No,2.11
3033,r4z1prz58wtwtg2a,8/26/2025 23:59,8/27/2025 0:05,Qualified,USA,No Changes,6.00,Dynata,52.636570826700000,2,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,57,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,More than 2 years ago,No,,Yes,No,No,No,No,No,No,No,No,No,4.39,16,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Strongly satisfied,They are the best I have ever worn and I have been wearing contacts for many years.,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Strongly agree,Strongly agree,Yes,No,1.61
3578,fxn8y1jmc4gry60u,8/27/2025 17:38,8/27/2025 17:43,Qualified,USA,No Changes,5.25,NextON,95.656846088600000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,40,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,7 to 12 months ago,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,,No,No,1.72,15,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,No,Satisfied,it makes my eyes healthy and it is thinner that makes me comfortable,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,No,No,Applies,Does not Apply,Applies,Applies,Applies,No,Agree,Strongly agree,No,Yes,3.52
3607,0k8az7p0uap0qed2,8/27/2025 18:11,8/27/2025 18:23,Qualified,USA,No Changes,11.37,NextON,59.952968107000000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,32,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,4.87,8,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly satisfied,I can exercise and be active without worrying about discomfort.,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,No,No,Applies,Applies,Does not Apply,Does not Apply,Applies,No,Strongly agree,Strongly agree,No,Yes,6.47
3609,fuqy06tcztwmhbu2,8/27/2025 18:11,8/27/2025 18:23,Qualified,USA,No Changes,11.08,NextON,75.021413950800000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,35,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,4.70,9,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,No,Satisfied,My eyes don’t get red or irritated like they used to with other lenses.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,No,No,Does not Apply,Applies,Does not Apply,Applies,Applies,No,Agree,Strongly agree,No,Yes,6.36
3611,620fb6qrwdr4b2js,8/27/2025 18:16,8/27/2025 18:33,Qualified,USA,No Changes,15.42,NextON,74.986791578300000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,34,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,No,No,No,No,No,Yes,No,Yes,No,,No,No,6.29,11,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,No,Strongly satisfied,The price worth it for the premium comfort and performance i get,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,No,No,Applies,Applies,Applies,Does not Apply,Applies,No,Agree,Agree,No,Yes,9.09
3613,rg5snsn30y6s2yv8,8/27/2025 18:19,8/27/2025 18:33,Qualified,USA,No Changes,12.15,NextON,68.951920477700000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,36,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,No,No,No,No,No,No,Yes,No,Yes,,No,No,4.50,9,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,No,Satisfied,They dont slide around dislodge even when i am active,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,No,No,Does not Apply,Applies,Does not Apply,Applies,Applies,No,Strongly agree,Agree,No,Yes,7.57
3615,90wyhcfzrx9y39na,8/27/2025 18:21,8/27/2025 18:33,Qualified,USA,No Changes,11.02,NextON,72.555689514300000,1,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,31,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,No,No,Yes,No,Yes,No,No,No,Yes,,No,No,3.64,11,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,No,Strongly satisfied,I never have to worry about lens related headaches or eye strain anymore,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Strongly agree,Strongly agree,No,Yes,7.31
3616,hj4kkd4mks0zn3h7,8/27/2025 18:24,8/27/2025 18:29,Qualified,USA,No Changes,4.82,Dynata,82.586238325800000,1,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,57,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,1 to 2 years ago,No,,No,No,No,No,No,No,No,No,Yes,No,1.81,12,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly satisfied,They are comfortable enough that you forget you have them in.  They also don't dry out after sometime and have to use an eye drop to moisten them,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Agree,Strongly agree,Yes,No,3.00
3620,zqfh1xkrsewuypbj,8/27/2025 18:27,8/27/2025 18:37,Qualified,USA,No Changes,8.92,NextON,51.147297046600000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,35,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,1.54,10,Strongly agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,No,Satisfied,I can wear makeup without worrying about my lenses drying.,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,No,No,Applies,Does not Apply,Does not Apply,Does not Apply,Applies,No,Agree,Agree,No,Yes,7.35
3623,9n0uabxq33hj9dmk,8/27/2025 18:27,8/27/2025 18:37,Qualified,USA,No Changes,8.95,NextON,49.357188569100000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,34,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,1.49,7,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly satisfied,They give me sharp crisp vision that feels close to natural sight.,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,No,No,Applies,Applies,Does not Apply,Applies,Applies,No,Strongly agree,Agree,No,Yes,7.42
3639,n3mgwuh0h832kad3,8/27/2025 18:38,8/27/2025 18:47,Qualified,USA,No Changes,8.83,NextON,38.115551408500000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,27,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,No,No,Yes,No,No,No,No,Yes,No,,No,No,1.91,11,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,No,Strongly satisfied,They are perfect for my dry office environment with air conditioning,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,No,No,Does not Apply,Applies,Does not Apply,Applies,Applies,No,Strongly agree,Strongly agree,No,Yes,6.86
3641,qj0x5zgreb4j8cve,8/27/2025 18:38,8/27/2025 18:47,Qualified,USA,No Changes,8.58,NextON,25.643328779500000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,25,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,No,No,No,No,No,No,Yes,Yes,No,,No,No,1.91,8,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,No,Strongly satisfied,They provide excellet UV protection which gives me peace of mind,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,No,No,Does not Apply,Applies,Does not Apply,Applies,Applies,No,Strongly agree,Strongly agree,No,Yes,6.60
3642,hf8bwek52c3abebg,8/27/2025 18:38,8/27/2025 18:47,Qualified,USA,No Changes,8.75,NextON,38.557528378300000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,28,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,No,No,No,No,No,No,Yes,No,Yes,,No,No,1.82,8,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Satisfied,My eye doctor recommended them specifically for my dry eye issue,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,No,No,Does not Apply,Applies,Does not Apply,Applies,Applies,No,Agree,Agree,No,Yes,6.87
3644,28duhy87szqv8wwx,8/27/2025 18:41,8/27/2025 18:49,Qualified,USA,No Changes,7.18,NextON,33.207425774900000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,32,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,1.49,10,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,No,Satisfied,I appreciate the overall comfort and clarity they provide.,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,No,Does not Apply,Applies,Applies,Does not Apply,Applies,No,Strongly agree,Strongly agree,No,Yes,5.68
3646,y59xbt100a1du9k3,8/27/2025 18:41,8/27/2025 18:49,Qualified,USA,No Changes,7.18,NextON,29.245756420900000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,35,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,1.46,8,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,No,Strongly satisfied,They allow me to focus on my day not my eyes.,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,No,No,Does not Apply,Applies,Applies,Applies,Applies,No,Agree,Agree,No,Yes,5.70
3647,z0y20sp25cqy9mjb,8/27/2025 18:41,8/27/2025 18:49,Qualified,USA,No Changes,7.07,NextON,34.778205276500000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,35,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,1.39,9,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,No,Strongly satisfied,They feel hygienic being single use lenses.,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,No,No,Applies,Applies,Does not Apply,Applies,Applies,No,Agree,Agree,No,Yes,5.66
3648,bg3a37875sqrbqxd,8/27/2025 18:41,8/27/2025 18:49,Qualified,USA,No Changes,6.97,NextON,37.668325927400000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,31,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,1.43,7,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Satisfied,I feel comfortable recommending them to others.,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,No,No,Applies,Applies,Does not Apply,Applies,Applies,No,Strongly agree,Strongly agree,No,Yes,5.51
